playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
Bjergsen,9.4025,272.1984,2,1,168,0,1230
Clozer,8.7346,610.9259,1,1,668,1,-399
Faker,7.5926,507.2531,1,2,-668,0,399
Clozer,8.6225,288.3576,0,0,-63,1,-291
Faker,9.7748,500.6225,0,0,63,0,291
FATE,9.8746,450.837,1,0,-127,0,-22
Zeka,9.5835,308.2006,1,0,127,0,22
FATE,9.0197,585.3897,1,0,-629,0,187
Zeka,10.3706,730.5577,0,0,629,0,-187
jojopyun,8.1595,534.6933,1,0,-514,0,553
ry0ma,8.681,601.4417,0,0,514,0,-553
ry0ma,6.3892,273.4149,2,0,-507,0,-1298
jojopyun,10.355,577.4541,2,0,507,0,1298
Fudge,9.6154,658.8462,2,0,-32,0,213
Palafox,10.1282,376.25,0,1,32,0,-213
Palafox,7.606,453.0506,0,0,98,0,-79
Fudge,9.8769,459.2066,2,0,-98,0,79
Fudge,7.8231,549.8299,1,1,-140,0,-154
Palafox,7.7891,316.7347,1,2,140,0,154
Chovy,11.0725,468.4242,2,0,1099,1,1442
FATE,8.7717,339.4727,0,0,-1099,0,-1442
FATE,7.7801,48.112,0,0,-792,0,-525
Chovy,8.7448,641.0166,0,0,792,0,525
Zeka,11.3561,599.8479,0,0,84,1,11
Lava,10.6717,315.1077,0,0,-84,0,-11
Lava,8.1254,366.3574,0,0,-426,0,-790
Zeka,9.5172,552.489,0,1,426,0,790
Aria,10.0058,435.1656,0,0,299,0,273
Clozer,9.6223,473.6897,0,1,-299,0,-273
Clozer,9.4399,792.159,0,0,1,0,-49
Aria,7.9521,464.7114,0,0,-1,0,49
Aria,8.6026,263.813,0,1,-123,0,-284
Clozer,10.0364,494.774,2,1,123,0,284
Faker,8.9584,679.0899,0,0,391,0,1058
Bdd,9.2997,500.4764,0,0,-391,0,-1058
Bdd,7.0876,258.8786,0,1,-566,1,-197
Faker,8.7207,441.7529,0,0,566,0,197
Faker,8.3019,443.6981,2,0,-128,0,-50
Bdd,7.3711,326.4403,1,1,128,0,50
Karis,7.1725,222.8712,1,0,-593,0,-1333
ShowMaker,10.5786,457.7948,0,0,593,1,1333
Karis,8.6205,461.8055,0,1,-1519,0,-883
ShowMaker,10.2225,559.0337,1,0,1519,0,883
Lava,8.7042,520.0244,0,0,974,1,1239
FATE,8.1907,682.8117,0,2,-974,0,-1239
FATE,8.7524,636.7601,0,0,587,0,-186
Lava,10.3647,805.6814,0,0,-587,1,186
NUCLEARINT,7.7542,363.7182,0,0,-351,0,759
Dajor,6.7373,262.5,0,1,351,0,-759
nukeduck,8.6723,230.1176,1,0,246,0,744
Reeker,8.9748,470.1933,0,0,-246,0,-744
Perkz,8.7372,839.3112,2,0,1151,0,2361
Sertuss,9.426,272.5559,0,1,-1151,0,-2361
Larssen,8.7429,426.72,3,0,425,1,248
Humanoid,8.88,453.2914,2,3,-425,0,-248
caPs,7.7111,586.773,1,0,385,1,562
Vetheo,8.4709,632.561,0,1,-385,0,-562
Bjergsen,8.9722,821.1747,0,0,-8,0,232
Blue,9.8532,528.1066,0,0,8,0,-232
Bjergsen,9.1663,507.319,0,1,-852,0,-1245
Blue,10.0949,243.6246,3,0,852,0,1245
Blue,9.0423,310.1972,3,0,531,0,1475
Bjergsen,8.1408,383.0423,0,1,-531,0,-1475
Blue,8.9882,473.723,0,1,-1138,0,-1314
Bjergsen,9.1945,489.9607,2,0,1138,0,1314
Aria,7.6815,378.7354,0,0,-620,1,-421
Chovy,9.6019,301.2178,0,0,620,0,421
Chovy,8.7384,463.0279,1,2,358,0,315
Aria,7.4369,542.7888,2,1,-358,0,-315
Bdd,9.6671,610.466,1,0,404,1,995
Zeka,9.5606,916.8842,0,1,-404,0,-995
Bdd,7.768,648.6877,0,0,201,0,242
Zeka,8.9989,1230.7534,0,0,-201,0,-242
NUCLEARINT,9.863,471.8493,1,0,145,1,1457
Sertuss,8.9726,559.3493,0,1,-145,0,-1457
Dajor,7.6369,317.2391,0,0,-395,0,-538
nukeduck,9.0969,265.5218,0,0,395,0,538
Reeker,8.3077,366.1065,1,1,13,0,-136
Vetheo,9.0888,576.9231,1,0,-13,0,136
Larssen,8.6229,526.5527,1,1,-637,0,-338
Perkz,8.6784,414.3438,2,1,637,0,338
Humanoid,10.6991,512.6283,0,0,1370,0,1316
caPs,7.9646,526.115,0,1,-1370,1,-1316
jojopyun,10.9784,278.6531,3,0,-164,1,228
Fudge,9.0724,248.7294,2,2,164,0,-228
Fudge,7.8832,444.6266,0,1,-1142,1,-1071
jojopyun,9.7361,474.7782,0,1,1142,0,1071
Fudge,9.9104,180,1,1,-765,0,-744
jojopyun,9.3393,549.5073,2,1,765,0,744
ShowMaker,8.4967,649.6633,1,1,-323,0,-209
Faker,9.092,263.7763,1,0,323,0,209
Faker,7.8781,441.7064,1,0,-161,1,556
ShowMaker,8.8753,338.7922,0,1,161,0,-556
ShowMaker,7.5074,295.1232,1,0,-378,0,-301
Faker,8.4236,642.8867,2,1,378,0,301
Karis,6.57,577.4544,0,1,552,0,-52
Clozer,8.9284,601.2354,0,1,-552,1,52
Clozer,8.435,284.5225,0,2,-555,0,-432
Karis,9.1512,328.1698,1,0,555,1,432
jojopyun,8.8258,396.3636,0,0,439,0,942
Bjergsen,8.0682,534.8106,1,0,-439,1,-942
jojopyun,7.9589,435.6535,1,0,1318,0,1404
Bjergsen,7.8414,448.5169,1,1,-1318,0,-1404
Bjergsen,6.9654,250.4644,0,0,-439,0,-274
jojopyun,8.0346,374.3521,1,0,439,0,274
Dajor,10.0486,253.2901,2,0,222,0,786
Sertuss,9.7245,381.6856,0,1,-222,0,-786
Larssen,10.989,655.6044,0,0,1245,0,3063
nukeduck,6.4615,304.4396,0,0,-1245,0,-3063
Perkz,10.0876,616.2522,1,0,16,0,660
Vetheo,9.1068,355.7618,1,0,-16,0,-660
caPs,9.3353,517.4622,2,1,-66,0,352
NUCLEARINT,7.0393,366.7372,1,0,66,0,-352
Reeker,7.6609,214.4127,1,4,-628,0,-1621
Humanoid,9.285,771.7263,1,2,628,1,1621
Vetheo,9.2742,528.4321,0,1,178,0,670
Sertuss,8.8089,362.1607,1,1,-178,0,-670
Reeker,7.5882,964.8309,1,0,-105,1,-257
NUCLEARINT,7.6103,611.9779,2,1,105,0,257
Dajor,9.5146,672.1221,1,0,-524,0,-185
Perkz,10.9015,464.2718,0,0,524,0,185
nukeduck,10.629,603.4622,2,1,-116,0,-79
Humanoid,10.7675,349.5441,1,2,116,0,79
caPs,7.0989,281.5909,0,2,-1203,0,-570
Larssen,8.9439,876.2166,2,0,1203,0,570
jojopyun,9.8671,338.2275,1,0,466,0,342
Keaiduo,9.2171,732.1418,1,0,-466,0,-342
Palafox,8.7057,474.0736,0,1,-416,0,-1216
toucouille,7.4387,523.1812,2,0,416,0,1216
Bjergsen,9.7264,336.1194,0,1,-273,0,-163
Abbedagge,8.7811,536.1194,0,0,273,1,163
Ablazeolive,9.393,593.7125,0,1,-261,0,412
Fudge,7.246,254.9904,0,0,261,0,-412
Blue,8.3263,505.0742,1,0,690,1,163
PowerOfEvil,8.3898,391.2712,1,1,-690,0,-163
Abbedagge,7.5913,305.9079,0,1,-981,0,-527
Palafox,8.5442,467.7713,2,0,981,1,527
Keaiduo,10.0528,357.6781,1,0,189,0,910
Blue,10.9235,643.3773,0,0,-189,0,-910
Fudge,5.0537,120.8251,0,0,1286,0,-197
jojopyun,7.529,473.064,0,3,-1286,0,197
toucouille,8.1991,483.4553,1,0,-637,0,-600
Ablazeolive,8.287,727.6428,0,0,637,0,600
PowerOfEvil,8.9054,584.2178,0,0,94,0,378
Bjergsen,8.3553,300.8252,0,0,-94,0,-378
Faker,9.9232,246.6667,1,1,28,0,435
Karis,9.5545,466.6052,1,1,-28,1,-435
Faker,6.7375,313.5548,1,1,-879,0,-595
Karis,7.8937,556.505,1,0,879,0,595
Karis,8.4558,428.6901,0,0,-33,0,343
Faker,10.4366,693.1629,0,1,33,0,-343
SeTab,8.9226,794.1751,1,0,280,1,617
Aria,8.0808,520.1347,0,1,-280,0,-617
Aria,7.7538,551.7927,1,0,810,0,551
Zeka,8.4233,720.6048,0,1,-810,0,-551
Zeka,9.5475,571.4489,0,0,534,0,1245
Aria,7.6258,130.3406,0,0,-534,1,-1245
ShowMaker,9.7367,300.492,0,0,-192,0,-20
FATE,9.426,498.5671,0,0,192,0,20
FATE,9.7119,295.1598,1,0,211,0,-8
ShowMaker,10.2148,391.9329,0,1,-211,0,8
Clozer,8.789,431.7398,1,0,-780,0,-591
Chovy,10.9149,495.1666,1,0,780,0,591
Clozer,8.61,498.7732,0,0,-769,0,-230
Chovy,8.8464,809.2403,0,0,769,1,230
Clozer,7.6899,488.1329,0,0,538,1,-130
Chovy,8.9557,1145.5696,1,1,-538,0,130
FIESTA,9.0365,553.4375,0,1,-65,0,-506
Lava,9.4531,750.3646,2,0,65,0,506
FIESTA,7.9852,381.1867,0,1,221,0,177
Lava,8.1829,610.8776,1,0,-221,0,-177
Lava,8.8828,342.1517,1,1,-1210,0,-355
FIESTA,8.1931,447.4759,1,0,1210,0,355
Zeka,9.6363,533.368,0,0,-419,0,-97
Karis,8.701,612.1587,1,0,419,0,97
Karis,7.7977,575.6498,0,0,-82,1,-221
Zeka,10.0389,243.9689,0,0,82,0,221
Zeka,10.0946,363.6528,0,0,660,0,384
Karis,7.7746,539.0374,0,0,-660,0,-384
Vetheo,7.1966,513.6971,0,0,625,0,12
NUCLEARINT,7.6199,496.5663,0,0,-625,0,-12
Dajor,7.8395,755.0537,4,0,295,1,966
Larssen,6.9995,670.4433,1,3,-295,0,-966
nukeduck,9.0611,602.0195,0,2,-1266,0,-376
Perkz,9.5128,232.6661,0,0,1266,0,376
Humanoid,10.4069,402.6684,2,0,958,1,2253
Sertuss,7.7652,270.6204,0,1,-958,0,-2253
Reeker,8.8148,215.7037,0,1,-1535,0,-1343
caPs,9.6296,301.2593,1,0,1535,0,1343
Faker,9.2862,988.9075,0,0,469,1,543
Quid,7.2979,586.8682,0,0,-469,0,-543
Faker,9.5908,574.1735,1,0,566,0,661
Quid,8.9689,814.5008,0,1,-566,0,-661
Clozer,8.2521,397.9726,0,2,-482,0,-1045
ShowMaker,9.5671,418.389,1,1,482,1,1045
Clozer,9.6118,563.4538,2,0,1249,1,896
ShowMaker,8.0857,258.929,0,0,-1249,0,-896
NUCLEARINT,8.5275,500.3073,1,0,-671,0,-431
nukeduck,9.347,702.6889,0,0,671,0,431
Reeker,8.0948,373.4741,0,0,1176,0,68
Sertuss,8.6379,446.4052,1,0,-1176,0,-68
Larssen,8.5595,469.0985,2,0,45,1,650
Vetheo,9.6468,558.8197,0,1,-45,0,-650
Dajor,8.1921,388.0086,1,0,-805,0,-1304
caPs,10.0702,567.1991,1,0,805,0,1304
Humanoid,8.2459,313.0922,0,1,-1081,1,-37
Perkz,8.6076,352.1157,0,0,1081,0,37
Blue,9.9746,102.4629,1,1,-478,1,-251
jojopyun,10.8004,396.7476,0,0,478,0,251
Abbedagge,8.7988,289.4645,0,1,-323,0,-373
PowerOfEvil,8.4805,561.8813,0,0,323,0,373
Bjergsen,10.2057,825.8869,0,0,61,0,-183
Fudge,10.8483,458.509,1,0,-61,0,183
Ablazeolive,7.1489,729.4468,0,1,-323,0,-284
Palafox,7.7872,581.7191,1,0,323,0,284
Keaiduo,9.8413,803.9286,0,0,4,0,-897
toucouille,8.4127,975.1587,3,0,-4,0,897
FATE,9.809,448.4494,0,0,855,1,1346
FIESTA,7.8202,170.427,0,0,-855,0,-1346
FIESTA,8.5456,456.898,1,1,-707,0,-693
FATE,10.0664,665.2142,1,0,707,1,693
Lava,9.8953,587.6814,0,0,1018,1,715
Aria,7.7412,710.2393,0,1,-1018,0,-715
Lava,9.6629,475.7803,1,0,-324,0,367
Aria,8.2397,428.4395,1,0,324,0,-367
Aria,7.2897,482.2964,2,0,468,0,888
Lava,8.0908,567.9573,0,1,-468,0,-888
PowerOfEvil,9.6996,423.8995,0,1,-305,0,-238
Fudge,8.3889,145.3304,1,0,305,1,238
Keaiduo,8.3716,408.3716,1,1,-58,0,-96
Ablazeolive,5.8028,786.8119,1,2,58,0,96
jojopyun,6.9987,550.7733,1,0,215,1,-332
Abbedagge,9.6199,1062.8834,0,0,-215,0,332
toucouille,9.0626,384.1226,0,0,-248,0,-310
Bjergsen,9.7024,699.2092,0,0,248,1,310
Palafox,9.7181,384.8322,0,0,-171,0,-223
Blue,9.1007,572.9128,2,0,171,0,223
Clozer,7.6582,583.0936,0,1,-712,0,-1792
Lava,8.5343,599.6755,2,0,712,0,1792
Lava,9.7401,1103.7175,2,0,1338,1,1182
Clozer,8.7396,434.7719,0,2,-1338,0,-1182
Clozer,9.5186,344.3764,0,0,215,1,321
Lava,7.9431,383.4026,0,0,-215,0,-321
Bdd,9.0514,367.3029,1,0,864,0,440
Chovy,10.0114,881.8971,0,2,-864,0,-440
Bdd,8.177,149.2389,0,0,-920,1,-884
Chovy,11.292,632.6018,0,0,920,0,884
Karis,9.0014,618.8423,0,2,-27,0,-1431
FATE,9.0014,447.4096,3,0,27,1,1431
Karis,6.783,544.2564,0,0,186,0,-253
FATE,7.9894,586.2064,0,0,-186,0,253
ShowMaker,7.6465,541.3674,0,0,258,0,-66
Zeka,9.1535,188.3721,0,0,-258,0,66
Zeka,7.9961,429.4737,0,0,571,0,151
ShowMaker,6.8952,359.4206,0,0,-571,0,-151
ShowMaker,6.7569,412.8582,0,1,-134,0,700
Zeka,7.2701,391.1974,0,0,134,0,-700
Aria,9.6675,630.6905,1,0,91,0,64
Faker,6.2302,555.4066,1,0,-91,0,-64
Aria,7.5852,280.969,1,4,-722,0,-1268
Faker,9.3565,498.9402,2,1,722,0,1268
Chovy,10.0063,531.9721,1,1,179,0,82
Clozer,9.1313,381.5346,0,1,-179,0,-82
Clozer,7.4571,559.9688,1,1,812,0,-505
Chovy,7.9251,792.0437,3,1,-812,1,505
Humanoid,9.2286,723.4431,2,0,1769,0,839
Dajor,6.3782,515.2775,3,2,-1769,1,-839
Vetheo,9.4398,578.7955,1,0,-416,0,675
nukeduck,7.619,555.4342,1,0,416,0,-675
NUCLEARINT,6.3197,434.438,0,0,-285,0,-939
Perkz,9.1174,297.2023,1,0,285,0,939
Sertuss,9.0222,291.3229,0,0,-75,0,74
caPs,8.7017,448.4224,0,1,75,0,-74
Larssen,9.6877,542.9346,2,1,841,0,687
Reeker,8.7331,261.9564,1,1,-841,0,-687
Karis,9.5263,474.7215,0,0,37,1,363
Zeka,9.0578,468.9433,0,0,-37,0,-363
Zeka,7.2869,465.3795,0,0,81,0,-9
Karis,6.9599,352.0125,0,0,-81,0,9
FATE,7.5169,624.6163,1,0,-601,1,206
Lava,8.0926,226.9977,1,1,601,0,-206
Lava,8.9234000000000009,1227.4806,0,0,1037,1,965
