playername,cspm,dpm,killsat15,deathsat15,xpdiffat15,firstblood,golddiffat15
nukeduck,7.6931,495.0891,3,0,667,1,981
Faker,9.7879,506.4274,0,0,-388,0,10
Humanoid,9.6761,434.7887,3,0,1255,0,2671
Karis,7.1725,222.8712,1,0,-593,0,-1333
Bdd,8.2879,632.714,0,2,22,0,-971
Zeka,8.5308,614.7583,0,1,-778,0,-634
Chovy,8.9557,1145.5696,1,1,-538,0,130
Dajor,8.4583,379.9261,0,0,-851,0,-756
NUCLEARINT,8.5275,500.3073,1,0,-671,0,-431
Abbedagge,8.3235,465.6553,1,2,-1578,1,-1208
Quid,7.7236,410.7714,0,1,-209,0,-824
Bjergsen,10.9263,311.4947,0,1,-797,0,-688
Humanoid,9.7528,685.2183,2,2,-1248,0,-955
jojopyun,8.209,427.1343,0,1,-827,0,-521
NUCLEARINT,8.5877,514.4645,4,1,1197,1,1021
FATE,9.0094,431.5433,2,1,-634,0,-193
Karis,8.0688,502.6386,0,0,-372,0,-182
ShowMaker,8.9288,410.153,1,0,1073,0,1198
Karis,9.3558,643.3113,1,0,-122,0,-313
VicLa,9.4874,509.6228,0,0,-32,1,-403
Zeka,8.1486,456.7731,3,1,1494,0,977
Palafox,8.3949,665.4188,0,1,-16,0,-229
Lava,11.284,380.7459,0,1,-511,1,-74
Perkz,9.3322,482.4253,0,0,555,0,10
PowerOfEvil,7.6744,346.7193,0,0,616,0,157
Larssen,10.2,428.1176,0,0,-23,0,841
Sertuss,10.5467,407.3016,0,0,-100,0,-511
Blue,9.8871,666.499,0,1,-208,0,232
Maple,8.4404,436.105,0,0,584,0,228
Vetheo,9.2742,528.4321,0,1,178,0,670
Bdd,8.7958,553.6335,0,1,163,0,717
Lava,8.4962,462.3308,0,0,-285,0,155
Humanoid,7.8755,494.8469,0,0,1190,0,-322
PowerOfEvil,8.6884,632.7938,0,0,-600,0,-634
Vetheo,8.3984,422.896,0,1,-717,0,-373
Jensen,8.8367,629.0715,2,0,-143,0,-201
Faker,8.7149,390.324,1,1,32,0,422
VicLa,7.2966,490.1837,1,1,1043,0,660
jojopyun,9.5132,366.815,0,0,325,0,-54
Humanoid,8.9292,781.9601,0,0,-100,0,-189
Bjergsen,8.7984000000000009,636.5784,1,0,1376,0,1785
Zeka,10.5132,431.5086,4,0,240,1,1594
Karis,6.57,577.4544,0,1,552,0,-52
Humanoid,8.9486,562.8,0,0,240,0,-394
Abbedagge,8.065,410.439,0,1,-882,0,-508
Lava,10.2147,515.6748,0,0,-157,0,-357
nukeduck,8.2298,229.6894,1,0,548,1,283
Karis,7.7279,524.5442,0,0,683,0,74
Karis,7.5789,306.2368,0,0,-770,1,-723
PowerOfEvil,8.6773,1209.5857,1,0,65,0,-47
Clozer,8.8264,553.5207,2,0,151,0,626
ShowMaker,7.562,361.7487,3,0,729,0,1549
Karis,7.3689,400.8042,2,0,676,0,897
Karis,9.0194,532.2505,2,0,955,1,814
caPs,8.6192,668.0178,1,2,532,0,-412
Bdd,8.9867,327.5828,0,0,-176,0,-268
NUCLEARINT,7.7153,474.1507,0,1,-576,0,-1301
Bjergsen,11.0097,322.8498,0,0,-20,0,-259
Vetheo,10.9823,642.5121,0,0,1072,0,310
Chovy,10.1617,423.983,2,1,1132,0,911
Bdd,6.9474,410.6699,0,3,-1232,0,-1656
caPs,10.0702,567.1991,1,0,805,0,1304
Clozer,8.435,284.5225,0,2,-555,0,-432
Palafox,9.7181,384.8322,0,0,-171,0,-223
Larssen,8.2999,856.9877,2,1,-94,0,-44
Humanoid,10.9568,820.075,0,0,525,0,1003
VicLa,10.0697,467.8088,0,1,854,0,249
NUCLEARINT,8.6089,425.053,0,1,-56,0,-464
toucouille,9.8192,294.0751,1,0,-325,0,54
Vetheo,7.5749,675.6782,0,3,-2056,0,-2578
Fudge,8.3889,145.3304,1,0,305,1,238
Karis,8.1545,347.1245,1,0,-140,0,659
Palafox,7.8811,645.3595,0,0,326,0,477
Lava,7.9156,755.3703,1,3,-421,1,-364
Sertuss,9.14,353.3661,0,0,289,0,-340
Abbedagge,9.6983,656.7672,0,0,507,1,227
Perkz,11.5315,649.5135,1,0,1652,0,986
Lava,6.832,427.9555,0,1,205,0,179
Maple,8.3406,403.0182,2,1,-990,0,-1030
Humanoid,7.6047,605.4941,2,0,-2,0,1270
Zeka,8.4842,810.1125,2,0,229,0,1497
Humanoid,8.4564,630.697,0,1,650,0,-372
caPs,7.7295,265.4428,1,0,-1072,0,-310
Lava,7.6837,515.5279,0,0,614,0,-37
Fudge,7.8615,654.1881,1,0,218,0,-289
nukeduck,7.619,555.4342,1,0,416,0,-675
Clozer,8.2521,397.9726,0,2,-482,0,-1045
Faker,7.8367000000000004,550.449,0,0,-683,0,-74
Karis,6.552,514.7721,1,2,185,0,-1334
